
Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
NumPy,Open Source,Stat Tools & Languages,,,
Pandas,Open Source,Stat Tools & Languages,,,
Perl,Open Source,Stat Tools & Languages,,,
Pyro,Open Source,Stat Tools & Languages,,,
Python,Open Source,Stat Tools & Languages,,,
R,Open Source,Stat Tools & Languages,,,
RStudio,Open Source,Stat Tools & Languages,,,
Scala,Open Source,Stat Tools & Languages,,,
SciPy,Open Source,Stat Tools & Languages,,,
Tidyverse,Open Source,Stat Tools & Languages,,,
Apex,Open Source,Streaming & Messaging,,,
Beam,Open Source,Streaming & Messaging,,,
Flink,Open Source,Streaming & Messaging,,,
Kafka,Open Source,Streaming & Messaging,,,
NiFi,Open Source,Streaming & Messaging,,,
Pulsar,Open Source,Streaming & Messaging,,,
RocketMQ,Open Source,Streaming & Messaging,,,
Spark Streaming,Open Source,Streaming & Messaging,,,
Storm,Open Source,Streaming & Messaging,,,
Bokeh,Open Source,Visualization,,,
D3,Open Source,Visualization,,,
ggplot,Open Source,Visualization,,,
Matplotlib,Open Source,Visualization,,,
Metabase,Open Source,Visualization,,,
Redash,Open Source,Visualization,,,
Rodeo,Open Source,Visualization,,,
seaborn,Open Source,Visualization,,,
Superset,Open Source,Visualization,,,
TensorBoard,Open Source,Visualization,,,
