,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
912,11-3021.00,Computer and Information Systems Managers,Microsoft SharePoint,43231507,Project management software,Y
913,11-3021.00,Computer and Information Systems Managers,Microsoft SQL Server,43232306,Data base user interface and query software,Y
914,11-3021.00,Computer and Information Systems Managers,Microsoft SQL Server Reporting Services SSRS,43232405,Object or component oriented development software,N
915,11-3021.00,Computer and Information Systems Managers,Microsoft Visio,43232102,Graphics or photo imaging software,Y
916,11-3021.00,Computer and Information Systems Managers,Microsoft Visual Basic,43232402,Development environment software,Y
917,11-3021.00,Computer and Information Systems Managers,Microsoft Visual Basic Scripting Edition VBScript,43232402,Development environment software,Y
918,11-3021.00,Computer and Information Systems Managers,Microsoft Visual FoxPro,43232311,Object oriented data base management software,N
919,11-3021.00,Computer and Information Systems Managers,Microsoft Visual Studio,43232402,Development environment software,Y
920,11-3021.00,Computer and Information Systems Managers,Microsoft Windows Server,43232701,Application server software,Y
921,11-3021.00,Computer and Information Systems Managers,Microsoft Word,43232104,Word processing software,Y
922,11-3021.00,Computer and Information Systems Managers,MicroStrategy,43232314,Business intelligence and data analysis software,Y
923,11-3021.00,Computer and Information Systems Managers,Mobile wireless network infrastructure software,43232910,Wireless software,N
924,11-3021.00,Computer and Information Systems Managers,MongoDB,43232304,Data base management system software,Y
925,11-3021.00,Computer and Information Systems Managers,MySQL,43232306,Data base user interface and query software,Y
926,11-3021.00,Computer and Information Systems Managers,Nagios,43232801,Network monitoring software,Y
927,11-3021.00,Computer and Information Systems Managers,Netscape Navigator,43232705,Internet browser software,N
928,11-3021.00,Computer and Information Systems Managers,NetSuite ERP,43231602,Enterprise resource planning ERP software,Y
929,11-3021.00,Computer and Information Systems Managers,Node.js,43232408,Web platform development software,Y
930,11-3021.00,Computer and Information Systems Managers,NoSQL,43232304,Data base management system software,Y
931,11-3021.00,Computer and Information Systems Managers,Objective C,43232405,Object or component oriented development software,Y
932,11-3021.00,Computer and Information Systems Managers,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis software,Y
933,11-3021.00,Computer and Information Systems Managers,Oracle DBMS,43232306,Data base user interface and query software,N
934,11-3021.00,Computer and Information Systems Managers,Oracle E-Business Suite,43231602,Enterprise resource planning ERP software,Y
935,11-3021.00,Computer and Information Systems Managers,Oracle E-Business Suite Financials,43231604,Financial analysis software,N
